Period,Passengers
"January 2002","38499"
"February 2002","38561"
"March 2002","48397"
"April 2002","45358"
"May 2002","47050"
"June 2002","49095"
"July 2002","51065"
"August 2002","51141"
"September 2002","40143"
"October 2002","48055"
"November 2002","44850"
"December 2002","49684"
"January 2003","43032"
"February 2003","41167"
"March 2003","49993"
"April 2003","47033"
"May 2003","49152"
"June 2003","52210"
"July 2003","55811"
"August 2003","53921"
"September 2003","44213"
"October 2003","49945"
"November 2003","47059"
"December 2003","49757"
"January 2004","43815"
"February 2004","45307"
"March 2004","54147"
"April 2004","53253"
"May 2004","53031"
"June 2004","56959"
"July 2004","59614"
"August 2004","57381"
"September 2004","47672"
"October 2004","54167"
"November 2004","51782"
"December 2004","52640"
"January 2005","47978"
"February 2005","47075"
"March 2005","58839"
"April 2005","54909"
"May 2005","57324"
"June 2005","59724"
"July 2005","62396"
"August 2005","59111"
"September 2005","50600"
"October 2005","53738"
"November 2005","52766"
"December 2005","52801"
"January 2006","48886"
"February 2006","47348"
"March 2006","58286"
"April 2006","55829"
"May 2006","57145"
"June 2006","59297"
"July 2006","60839"
"August 2006","58303"
"September 2006","49950"
"October 2006","55089"
"November 2006","53852"
"December 2006","53539"
"January 2007","50022"
"February 2007","47766"
"March 2007","59244"
"April 2007","57396"
"May 2007","59284"
"June 2007","61494"
"July 2007","63457"
"August 2007","62658"
"September 2007","52308"
"October 2007","57206"
"November 2007","55044"
"December 2007","53289"
"January 2008","50245"
"February 2008","50118"
"March 2008","59213"
"April 2008","55611"
"May 2008","58047"
"June 2008","59559"
"July 2008","61402"
"August 2008","58966"
"September 2008","47680"
"October 2008","52956"
"November 2008","47658"
"December 2008","50254"
"January 2009","44822"
"February 2009","43677"
"March 2009","53531"
"April 2009","52245"
"May 2009","52949"
"June 2009","55898"
"July 2009","59469"
"August 2009","56568"
"September 2009","48235"
"October 2009","52279"
"November 2009","48585"
"December 2009","49793"
"January 2010","45502"
"February 2010","42441"
"March 2010","54424"
"April 2010","52498"
"May 2010","53842"
"June 2010","56690"
"July 2010","59143"
"August 2010","57371"
"September 2010","50305"
"October 2010","54826"
"November 2010","51420"
"December 2010","51076"
"January 2011","46305"
"February 2011","43658"
"March 2011","55649"
"April 2011","52859"
"May 2011","55982"
"June 2011","57779"
"July 2011","60310"
"August 2011","57404"
"September 2011","50982"
"October 2011","54124"
"November 2011","51660"
"December 2011","51535"
"January 2012","47081"
"February 2012","46405"
"March 2012","56200"
"April 2012","53691"
"May 2012","55749"
"June 2012","57903"
"July 2012","59688"
"August 2012","58646"
"September 2012","50135"
"October 2012","53780"
"November 2012","51845"
"December 2012","51166"
"January 2013","47817"
"February 2013","45740"
"March 2013","56565"
"April 2013","53229"
"May 2013","56563"
"June 2013","57991"
"July 2013","59311"
"August 2013","58115"
"September 2013","50766"
"October 2013","54706"
"November 2013","50543"
"December 2013","54333"
"January 2014","47957"
"February 2014","45513"
"March 2014","57762"
"April 2014","55248"
"May 2014","57889"
"June 2014","59262"
"July 2014","61759"
"August 2014","59762"
"September 2014","52530"
"October 2014","57084"
"November 2014","52578"
"December 2014","55487"
"January 2015","49728"
"February 2015","47165"
"March 2015","59557"
"April 2015","57698"
"May 2015","60252"
"June 2015","61811"
"July 2015","65130"
"August 2015","62774"
"September 2015","55990"
"October 2015","60892"
"November 2015","57151"
"December 2015","57870"
"January 2016","52474"
"February 2016","51111"
"March 2016","61593"
"April 2016","58894"
"May 2016","62752"
"June 2016","64757"
"July 2016","66136"
"August 2016","63500"
"September 2016","58620"
"October 2016","61709"
"November 2016","59269"
"December 2016","59178"
"January 2017","54109"
"February 2017","51078"
"March 2017","63963"
"April 2017","61099"
"May 2017","64443"
"June 2017","66746"
"July 2017","68575"
"August 2017","66665"
"September 2017","57145"
"October 2017","64625"
"November 2017","61911"
"December 2017","61374"
"January 2018","55830"
"February 2018","54078"
"March 2018","66643"
"April 2018","64557"
"May 2018","67844"
"June 2018","70278"
"July 2018","72540"
"August 2018","70339"
"September 2018","60469"
"October 2018","67082"
"November 2018","64660"
"December 2018","63646"
"January 2019","58034"
"February 2019","55679"
"March 2019","70233"
"April 2019","66938"
"May 2019","71365"
"June 2019","72791"
"July 2019","75284"
"August 2019","72718"
"September 2019","63981"
"October 2019","69922"
"November 2019","64817"
"December 2019","69719"
